lbs,degrees,level,kias,kias,kias,kias,WAT feet (degrees C),WAT feet (degrees C)
weight,flaps,ice_protection,v_ref,v_ga,v_fri,v_climb,2000,6000
60000,0,2,178,178,178,172,NA,NA
60000,5,2,160,148,160,172,NA,NA
60000,10,2,150,148,160,172,NA,NA
60000,15,2,144,140,152,172,NA,28
60000,35,2,134,124,148,172,NA,34
60000,0,3,178,178,178,172,NA,NA
60000,5,3,160,148,160,172,NA,NA
60000,10,3,150,148,160,172,NA,NA
60000,15,3,144,140,152,172,NA,28
60000,35,3,134,124,148,172,NA,34
61000,0,1,154,154,154,153,NA,NA
61000,5,1,141,129,141,153,NA,36
61000,10,1,131,129,141,153,NA,36
61000,15,1,125,121,133,153,44,32
61000,35,1,120,115,129,153,44,26
61000,0,2,179,179,179,173,NA,NA
61000,5,2,161,149,161,173,NA,36
61000,10,2,151,149,161,173,NA,36
61000,15,2,145,141,153,173,44,32
61000,35,2,135,135,149,173,44,26
61000,0,3,179,179,179,173,NA,NA
61000,5,3,161,149,161,173,NA,36
61000,10,3,151,149,161,173,NA,36
61000,15,3,145,141,153,173,44,32
61000,35,3,135,135,149,173,44,26
62000,0,1,155,155,155,154,NA,NA
62000,5,1,155,130,142,154,NA,36
62000,10,1,133,130,124,154,NA,36
62000,15,1,126,122,134,154,42,30
62000,35,1,121,116,130,154,42,24
62000,0,2,180,180,180,174,NA,NA
62000,5,2,175,150,162,174,NA,36
62000,10,2,153,150,162,174,NA,36
62000,15,2,146,142,154,174,42,30
62000,35,2,136,136,150,174,42,24
62000,0,3,180,180,180,174,NA,NA
62000,5,3,175,150,162,174,NA,36
62000,10,3,153,150,162,174,NA,36
62000,15,3,146,142,154,174,42,30
62000,35,3,136,136,150,174,42,24
63000,0,1,156,156,156,155,NA,NA
63000,5,1,143,134,143,155,NA,34
63000,10,1,133,134,143,155,NA,34
63000,15,1,127,123,135,155,NA,28
63000,35,1,122,117,131,155,40,20
63000,0,2,181,181,181,175,NA,NA
63000,5,2,163,154,163,175,NA,34
63000,10,2,153,154,163,175,NA,34
63000,15,2,147,143,155,175,NA,28
63000,35,2,137,137,151,175,40,20
63000,0,3,181,181,181,175,NA,NA
63000,5,3,163,154,163,175,NA,34
63000,10,3,153,154,163,175,NA,34
63000,15,3,147,143,155,175,NA,28
63000,35,3,137,137,151,175,40,20
64000,0,1,157,157,157,157,NA,NA
64000,5,1,144,132,145,157,NA,32
64000,10,1,135,132,145,157,NA,32
64000,15,1,128,124,136,157,44,26
64000,35,1,123,119,132,157,38,18
64000,0,2,182,182,182,177,NA,NA
64000,5,2,164,152,165,177,NA,32
64000,10,2,155,152,165,177,NA,32
64000,15,2,148,144,156,177,44,26
64000,35,2,138,139,142,177,38,18
64000,0,3,182,182,182,177,NA,NA
64000,5,3,164,152,165,177,NA,32
64000,10,3,155,152,165,177,NA,32
64000,15,3,148,144,156,177,44,26
64000,35,3,138,139,142,177,38,18
65000,0,1,158,158,158,158,NA,NA
65000,5,1,145,134,144,158,NA,32
65000,10,1,136,134,144,158,NA,32
65000,15,1,129,125,137,158,44,26
65000,35,1,123,119,133,158,38,18
65000,0,2,183,183,183,178,NA,NA
65000,5,2,170,154,164,178,NA,32
65000,10,2,156,154,164,178,NA,32
65000,15,2,149,145,157,178,44,26
65000,35,2,138,139,153,178,38,18
65000,0,3,183,183,183,178,NA,NA
65000,5,3,170,154,164,178,NA,32
65000,10,3,156,154,164,178,NA,32
65000,15,3,149,145,157,178,44,26
65000,35,3,138,139,153,178,38,18
