lbs,delta_c,type,ft,kias,percent,lb/hr
weight,isa,cruise,alt,speed,trq,fuel_flow
62000,10,LR,18000,217,47.4,1940
62000,10,LR,22000,207,46.8,1850
62000,10,LR,25000,207,49,1863
62000,10,INT,6000,237,48.3,2361
62000,10,INT,10000,253,59.2,2513
62000,10,INT,14000,249,60.4,2428
62000,10,INT,18000,235,56.1,2212
62000,10,INT,22000,222,53.2,2042
62000,10,INT,25000,213,51.8,1953
62000,10,HS,6000,245,50.2,2414
62000,10,HS,10000,282,74.9,2974
62000,10,HS,14000,275,75.1,2881
62000,10,HS,18000,256,67,2540
62000,10,HS,22000,238,60.6,2279
62000,10,HS,25000,219,54.3,2035
65200,-10,LR,6000,237,46.1,2250
65200,-10,LR,10000,237,48.9,2187
65200,-10,LR,14000,233,50,2076
65200,-10,LR,18000,221,47.9,1913
65200,-10,LR,22000,214,48.8,1860
65200,-10,LR,25000,211,49.9,1840
65200,-10,INT,6000,238,48.3,2314
65200,-10,INT,10000,257,59.9,2475
65200,-10,INT,14000,257,63,2452
65200,-10,INT,18000,250,62.6,2342
65200,-10,INT,22000,237,59.3,2182
65200,-10,INT,25000,226,56.5,2069
65200,-10,HS,6000,245,49.4,2346
65200,-10,HS,10000,282,72.7,2840
65200,-10,HS,14000,284,78.8,2924
65200,-10,HS,18000,281,82,2998
65200,-10,HS,22000,260,72.3,2639
65200,-10,HS,25000,242,64.4,2350
65200,0,LR,6000,237,46.8,2291
65200,0,LR,10000,235,48.7,2207
65200,0,LR,14000,232,50.7,2119
65200,0,LR,18000,219,48.2,1944
65200,0,LR,22000,214,49.7,1911
65200,0,LR,25000,209,50.4,1884
65200,0,INT,6000,239,49.3,2361
65200,0,INT,10000,257,60.8,2527
65200,0,INT,14000,257,64.2,2516
65200,0,INT,18000,243,60.2,2304
65200,0,INT,22000,231,57.4,2144
65200,0,INT,25000,219,54.9,2036
65200,0,HS,6000,245,50.2,2391
65200,0,HS,10000,282,74.1,2917
65200,0,HS,14000,284,80.5,3017
65200,0,HS,18000,269,74.9,2779
65200,0,HS,22000,249,66.7,2465
65200,0,HS,25000,230,59.4,2194
65200,10,LR,6000,235,47.1,2322
